author	section	date	title	url	plethora	copious
	news	December 7, 2021 12:30 pm	Pop-Up Holiday Book Sale on tap	https://www.mi-reporter.com/news/pop-up-holiday-book-sale-on-tap/	0	0
Henry Stewart-Wood	news	December 6, 2021 4:05 pm	King County woman among first in state to...	https://www.mi-reporter.com/news/king-county-woman-among-first-in-state-to-test-positive-for-omicron/	0	0
Henry Stewart-Wood	news	December 6, 2021 12:30 pm	Black drivers disproportionately pulled over by WSP in...	https://www.mi-reporter.com/news/black-drivers-disproportionately-pulled-over-by-wsp-in-king-pierce-counties/	0	0
Andy Nystrom	news	December 5, 2021 7:30 pm	Mercer Island community gathers for Hanukkah celebration	https://www.mi-reporter.com/news/mercer-island-community-gathers-for-hanukkah-celebration/	0	0
	news	December 3, 2021 3:30 pm	Trees aplenty at YFS lot	https://www.mi-reporter.com/news/trees-aplenty-at-yfs-lot/	0	0
Andy Nystrom	news	December 3, 2021 3:30 pm	Island Freemasons rename lodge in honor of Dean...	https://www.mi-reporter.com/news/island-freemasons-rename-lodge-in-honor-of-dean-leclare-quigley/	0	0
	news	December 3, 2021 11:30 am	School district seeks ballot measure committees	https://www.mi-reporter.com/news/school-district-seeks-ballot-measure-committees/	0	0
	news	December 3, 2021 11:30 am	Recology offers holiday cardboard recycling tips	https://www.mi-reporter.com/news/recology-offers-holiday-cardboard-recycling-tips/	0	0
	news	December 3, 2021 8:00 am	King County weather: Dec. 3-5	https://www.mi-reporter.com/news/king-county-weather-dec-3-5/	0	0
Jerry Cornfield	news	December 2, 2021 4:56 pm	Senator becomes first GOP candidate for secretary of...	https://www.mi-reporter.com/news/senator-becomes-first-gop-candidate-for-secretary-of-state/	0	0
Olivia Sullivan	news	December 2, 2021 3:01 pm	FEMA to send mobile COVID-19 vaccination unit to...	https://www.mi-reporter.com/news/fema-to-send-mobile-covid-19-vaccination-unit-to-western-washington/	0	0
Andy Nystrom	news	December 2, 2021 2:30 pm	School district opens new Pathways building for Adult...	https://www.mi-reporter.com/news/school-district-opens-new-pathways-building-for-adult-transition-program/	0	0
Henry Stewart-Wood	news	December 2, 2021 10:40 am	Washington health officials discuss response to new COVID...	https://www.mi-reporter.com/news/washington-health-officials-discuss-response-to-new-covid-variant/	0	0
Andy Nystrom	news	December 1, 2021 1:30 pm	‘She was loved not only by the teachers,...	https://www.mi-reporter.com/news/she-was-loved-not-only-by-the-teachers-but-by-all-the-students/	0	0
Cameron Sheppard	news	November 30, 2021 4:00 pm	As new COVID-19 variant looms, vaccination disparities linger...	https://www.mi-reporter.com/news/as-new-covid-19-variant-looms-vaccination-disparities-linger-in-king-county/	0	0
Reporter Staff	news	November 30, 2021 10:30 am	Four vehicles parked in resident’s driveway prowled overnight...	https://www.mi-reporter.com/news/four-vehicles-parked-in-residents-driveway-prowled-overnight-mercer-island-police-blotter/	0	0
Cameron Sheppard	news	November 29, 2021 2:00 pm	King County and Port of Seattle to collaborate...	https://www.mi-reporter.com/news/king-county-and-port-of-seattle-to-collaborate-on-waste-to-fuel-study/	0	0
	news	November 29, 2021 9:30 am	YFS Foundation opens tree lot	https://www.mi-reporter.com/news/yfs-foundation-opens-tree-lot/	0	0
	news	November 29, 2021 9:00 am	Residents are invited to online Community Climate Kickoff...	https://www.mi-reporter.com/news/residents-are-invited-to-online-community-climate-kickoff-event/	0	0
	news	November 28, 2021 10:30 am	Giving thanks to Mercer Island police	https://www.mi-reporter.com/news/giving-thanks-to-mercer-island-police/	0	0
Andy Nystrom	news	November 26, 2021 11:30 am	Youth with arthritis possesses a light, confidence and...	https://www.mi-reporter.com/news/youth-with-arthritis-possesses-a-light-confidence-and-fierceness/	0	1
Cameron Sheppard	news	November 24, 2021 1:00 pm	Department of Health announces QR code verification program...	https://www.mi-reporter.com/news/department-of-health-announces-qr-code-verification-program-to-prove-vaccination-status/	0	0
Ben Watanabe	news	November 24, 2021 10:30 am	Thanksgiving traffic forecast is heavier than pre-pandemic	https://www.mi-reporter.com/news/thanksgiving-traffic-forecast-is-heavier-than-pre-pandemic/	0	0
Andy Nystrom	news	November 24, 2021 8:30 am	Lewis connects with Islanders through cookies	https://www.mi-reporter.com/news/lewis-connects-with-islanders-through-cookies/	0	0
Andy Nystrom	news	November 23, 2021 4:00 pm	King County Elections certifies general election results	https://www.mi-reporter.com/news/king-county-elections-certifies-general-election-results/	0	1
Cameron Sheppard	news	November 23, 2021 2:30 pm	King County proposes redistricting map, asks for feedback...	https://www.mi-reporter.com/news/king-county-proposes-redistricting-map-asks-for-feedback-from-public/	0	0
Henry Stewart-Wood	news	November 23, 2021 12:30 pm	King County Executive appoints Patti Cole-Tindall as interim...	https://www.mi-reporter.com/news/king-county-executive-appoints-patti-cole-tindall-as-interim-sheriff/	0	0
Reporter Staff	news	November 22, 2021 1:30 pm	Pedestrian reportedly struck by vehicle in crosswalk	https://www.mi-reporter.com/news/pedestrian-reportedly-struck-by-vehicle-in-crosswalk/	0	0
	news	November 22, 2021 11:30 am	Mercer Island Rotarians participate in Operation Nightwatch	https://www.mi-reporter.com/news/mercer-island-rotarians-participate-in-operation-nightwatch/	0	0
